Release,Resource,buggyness
1.0.0,lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/HadoopInput.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/file/BZip2Codec.java,no
1.0.0,lang/java/mapred/src/main/java/org/apache/avro/mapred/HadoopReducer.java,no
1.0.0,lang/java/trevni/core/src/main/java/org/apache/trevni/ColumnFileWriter.java,no
1.0.0,lang/java/archetypes/avro-service-archetype/src/main/resources/archetype-resources/src/main/java/service/SimpleOrderService.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/reflect/AvroIgnore.java,no
1.0.0,lang/java/tools/src/main/java/org/apache/avro/tool/TrevniUtil.java,no
1.0.0,doc/examples/mr-example/src/main/java/example/AvroWordCount.java,no
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/Callback.java,no
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/HttpTransceiver.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/io/EncoderFactory.java,no
1.0.0,lang/java/ipc-netty/src/main/java/org/apache/avro/ipc/netty/NettyServer.java,no
1.0.0,lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/AbstractAvroMojo.java,no
1.0.0,lang/java/trevni/core/src/main/java/org/apache/trevni/SnappyCodec.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/Resolver.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/util/WeakIdentityHashMap.java,no
1.0.0,lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/ProtocolTask.java,no
1.0.0,doc/examples/java-example/src/main/java/example/SpecificMain.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/file/SeekableInput.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericEnumSymbol.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/data/RecordBuilderBase.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java,no
1.0.0,lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherPartitioner.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/io/BufferedBinaryEncoder.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/reflect/FieldAccessUnsafe.java,no
1.0.0,lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroSequenceFileInputFormat.java,no
1.0.0,lang/java/avro/src/main/java/org/apache/avro/data/ErrorBuilder.java,no
1.0.0,lang/java/tools/src/main/java/org/apache/avro/tool/DataFileGetSchemaTool.java,yes
1.0.0,lang/java/avro/src/main/java/org/apache/avro/file/SeekableFileInput.java,no
1.0.0,lang/java/trevni/core/src/main/java/org/apache/trevni/BZip2Codec.java,no
